"著者","題目","出典","要約","年月","DOI/Handle"
"Z. Huang, T. Yamazato, M. Katayama","Optimal Cluster Partitioning for Wireless Sensor Networks with Cooperative MISO Scheme","Advanced International Conference on Telecommunications (AICT), pp.323-328, Barcelona, Spain","The paper discusses the optimal cluster partitioning for wireless sensor networks deployed in continuous areas. Both single-hop and multi-hop transmissions with cooperative Multi-Input Single-Output (MISO) scheme are considered for inter-cluster communications. The effects of cluster size in the energy consumption of intra-cluster communication and the amount of fused data are included in calculation. As a result,
the dominant factors of the maximal network lifetimes are listed as: the cluster farthest from base station in single-hop transmission and the closest cluster in multi-hop transmission.
In addition, the maximal network lifetimes of single-hop and multi-hop transmissions are compared and it is found that there exists a threshold of network size that determines which
transmission is the better candidate.","2010年5月","10.1109/AICT.2010.67,14500"
"J. Kietlinski-Zaleski, T. Yamazato, M. Katayama","Experimental Validation of TOA UWB Positioning with Two Receivers Using Known Indoor Features","IEEE/ION Position Location and Navigation Symposium (PLANS), Palm Springs, California, USA","Ultra-Wideband is an attractive technology for short range positioning, especially indoors. However, for normal Time of Arrival (ToA) positioning, at least three receivers with unblocked direct path to the transmitter are required. This requirement is not always met. In this work, a novel algorithm
for ToA positioning using only two receivers is presented and validated using data from a measurement campaign. Positioning with two receivers is possible by exploiting the knowledge of some of the indoor features, namely positions of big flat reflective surfaces, for example ceiling and walls.","2010年5月","10.1109/PLANS.2010.5507253,"
"S. Arai, Y. Nishio, T. Yamazato, S. Ozawa","Performance Evaluation of Error-Correcting Scheme Without Redundancy Code for Noncoherent Chaos Communications","IEEE International Symposium on Circuits and Systems (ISCAS), Paris, France","This paper considers a novel error-correcting scheme exploiting chaotic dynamics for noncoherent chaos communication. In our proposed system, two successive chaotic sequences are generated from the same chaotic map; the second sequence is generated with an initial value which is the last value of the first sequence. In this case, successive chaotic sequences having the same chaotic dynamics are created. This feature gives the receiver additional information to correctly recover the information data and thus improves the bit error performance of the receiver. Further, enhanced efficiency also comes from operating on successively modulated data; by involving less redundancy in the error correction system, it can be designed with high coding rate. In this paper, we analyze the scheme’s capability, by examining computational times and accuracy rates of error correction. bounds on its capability.","2010年5月","10.1109/ISCAS.2010.5537140,"
"小林健太郎，山里敬也，片山正昭","観測データ間の相関を利用した統合復号法へのADCビットレベルに応じた相関推定の適用","電子情報通信学会論文誌, vol.J93-A, no.5, pp.353-364","無線センサネットワークでは高い観測精度を得るために多数のセンサノードを密に配置することが多く，各ノードの観測データは互いに相関を有する．本論文では，センサノードで得られる観測値がADCを通じてバイナリ形式で得られることに着目し，ADCビットレベルごとに送信データ間の相関を推定して利用できる統合復号法を提案する．従来復号法における相関推定を単純にビットレベルごとに分割するだけでは推定精度が低くなり復号特性が劣化する．相関の推定誤差の解析を行い，ビットレベルごとの相関推定において生じる問題点を明かにする．推定誤差の解析に基づき，相関の推定に簡単な工夫を施すことで大幅な復号特性の向上が得られる方式を提案する．提案方式は，ビットレベルごとに相関の大きさや正負が異なる環境下でも高い復号特性を得られることを示す．","2010年5月",""
"Y. Ohtomo, T. Yamazato, M. Katayama","An Access Control Method for Multipoint Cyclic Data Gathering over a PLC Network","IEEE International Symposium on Power Line Communications and Its Applications (ISPLC), Rio de Janeiro, Brazil","This paper proposes a media access control method for a multipoint cyclic data gathering system, in which each node transmits its data to the base-station periodically. In such condition, by broadcasting ACK/NACK signals from the base-station, the proposed method ensures assignment of a time slot for each node once the node succeeds to transfer its data. It is confirmed that the proposed scheme reduces packet  collisions and outperforms conventional slotted-ALOHA scheme in throughput of data even with ACK/NACK errors. Furthermore the proposed scheme realizes adaptive slot assignment under cyclostationary channel environment. ","2010年3月","10.1109/ISPLC.2010.5479914,"
"近藤継敬，山里敬也，片山正昭","協調動作する複数機器のための無線通信路誤りを考慮した無線制御方式","電子情報通信学会 総合大会, A-5-17, p.119 , 仙台","機器制御への無線技術の導入には，移動体制御の容易化，省スペース，複数機器の同時配信可能など多くの利点がある．しかし，無線通信路の通信誤り特性が制御品質に与える影響は十分に評価されていない．特に協調動作する複数の機器を制御する場合は，個々の機器の制御品質だけでなく，相互の動作の同期も考える必要がある．
本稿では，同期動作の一例として2台の制御対象が同時に同じ動作をする無線制御システムを考え，それぞれの制御系が他方の信号も利用することで，同期誤差特性の改善が実現できることを示す．","2010年3月",""
"阿萬友洋、	山里敬也, 片山正昭","衛星地上統合移動通信システムにおける動的資源割当による周波数利用効率の改善","電子情報通信学会 総合大会, B-3-33, p.346","","2010年3月",""
"長縄潤, 山里敬也, 片山正昭","一次システム信号の中継を伴う重畳通信システムにおけるDirty Paper Codingの適用","電子情報通信学会 総合大会,B-17-3,pp.652, 仙台","周波数共用のために既存(一次)システムと二次システムが同じ周波数帯域で同時に通信を行う重畳通信の実現例として，著者らは二次システムが一次システム信号を中継する方式を提案している．しかしこの方式では，一次システムの信号が干渉となり，二次システムの特性に大きな影響を与えるという問題があった．
そこで本稿では，二次システムの特性改善を図るために\\\"Dirty Paper Coding\\\"(DPC)を提案方式に適用する．そして数値例により，一次システムの誤り率特性の劣化無しに二次システムの特性が改善されることを示す．
","2010年3月",""
"名倉徹, 山里敬也, 片山正昭, 圓道知博, 藤井俊彰, 岡田啓","LEDアレイと高速度カメラを用いた可視光通信システムのためのLED位置のサブピクセル推定","電子情報通信学会 総合大会, A-17-16, p.244, 仙台","LEDは従来の白熱灯と比較して低消費電力，視認性の良さや長寿命といった利点があり，LED信号機が普及しつつある．LEDを人の目には見えない程高速に点滅させることによって照明光であると同時に，通信機器としての役割も果たすことが可能である．
本稿ではLEDアレイと高速度カメラを用いた可視光通信システムを考える．
筆者らはこれまで受信輝度取得方法を検討することにより，誤り率特性を改善した．しかし，受信輝度取得時にLED点灯位置と推定位置にずれが生じると誤り率特性が劣化する問題点がある．
本稿ではLED位置のサブピクセル推定手法を提案することで，より正確なLED位置を推定し，誤り率特性を改善する．
","2010年3月",""
"白木康建， 山里敬也， 片山正昭， 圓道知博， 藤井俊彰， 岡田啓","路車間可視光通信におけるLED信号機の傾きの影響","電子情報通信学会 総合大会, A-4-3, p.76, 仙台","LEDは白熱灯に比べ長寿命で消費電力が低く，発熱が少ない等の利点を持つため信号機や照明に用いられるようになった．LEDは高速点滅可能な半導体であるため人間の目に常に光って見える速さで点滅させれば照明や表示と同時に通信機器として使うことも可能である．可視光を高速変調させて行う通信を可視光通信と呼ぶ．車載カメラとLED信号機を用いた路車間可視光通信では信号機が常にカメラに正面を向いているとは限らない．本稿では信号機がカメラに対して傾いている場合を想定して実験を行い傾きの影響をBERで評価する．","2010年3月",""
"三家祥平，山里敬也, 片山正昭","逐次検定を行う協調スペクトルセンシングにおける重み付け合成判定を用いた特性改善","電子情報通信学会 総合大会, B17-15, p664, 仙台","動的周波数割り当てによる帯域共有においては，一次システム信号の有無を正確に判定することが重要である．
中央局（FC）が複数のノードのセンシング結果を利用し判定する協調スペクトルセンシングでは，スペースダイバシチにより正確な判定が期待できる．
各ノードのセンシング結果をFCへ報告するにはコントロールチャネルと呼ばれる帯域が必要となる．
協調スペクトルセンシングにおいては，このコントロールチャネルの周波数資源の有効利用も重要な課題である．

コントロールチャネルの使用量を考慮した従来研究としては，逐次検定を用いた手法がある．この手法では，逐次検定により高い確信度の結果を得たノードのみがFCへ報告することで，報告総数が減少し，さらに各ノードの報告タイミングがずれることで同時報告数も少なくなっている．
この手法では判定が確定するまでの時間が一定ではなかった．そこで逐次検定を行うセンシングに，打ち切り時間を設定し，その時点までにFCが受け取った報告を基に判定するための重み付け合成判定法を提案する．
そして，報告数分布の偏りに応じた重み付けを行うことで，より高い特性が得られることを示す．","2010年3月",""
"平岩士昌, 山里敬也, 片山正昭","MC-CDMAを用いた車車間通信のためのカルマン通信路推定","電子情報通信学会技術研究報告, vol.ITS2010-45, pp.47-52, , 北海道","本稿では，通信方式にMC-CDMAを用いた車車間通信のためのカルマン通信路推定を提案する．
車車間通信は自律分散型通信であり，送信車両毎に異なる通信路特性を示す．さらに，送受信車両の移動により，マルチパスフェージングやドップラーシフトが生じるため，パイロット信号間でも通信路の変動が生じる．本稿では，通信路の変動に追従することを目的に，通信路推定にカルマンフィルタを利用する．提案するカルマン通信路推定では，カルマンフィルタで生じる誤差の影響を抑えるために，カルマン通信路推定とパイロット信号間の通信路を補間関数を用いて推定する通信路推定に基づいた結合通信路推定により推定値の更新を行う．
計算機シミュレーションの結果から，提案するカルマン通信路推定を用いることで通信路の変動への追従が可能になり，補間関数を利用した通信路推定より良い特性が得られることを示す．
","2010年2月",""
"名倉徹, 小澤俊之, 山里敬也, 片山正昭, 圓道知博, 藤井俊彰, 岡田啓","車両走行受信時における可視光通信システムのLEDアレイ送信機検出・追跡手法","電子情報通信学会技術研究報告, vol.ITS2010-47, pp.59-64, 北海道","本稿ではLEDアレイを送信機に、高速度カメラを受信機に用いた可視光通信システムで車両走行時における復号アルゴリズムについて述べる。具体的にはM系列を用いた信号機検出手法と、反転信号を用いた信号機追従手法を提案する。
M系列を用いることにより、正確にLEDアレイ候補を選別できることを示す。また、反転信号を用いることで、従来手法よりもLEDのちらつきを減らし、伝送速度を向上できることを示す。","2010年2月",""
"小澤俊之, 名倉徹, 山里敬也, 片山正昭, 圓道知博, 藤井俊彰, 岡田啓","LEDアレイと高速度カメラを用いた 階層的符号化光通信方式のための逐次型干渉除去","電子情報通信学会技術研究報告, vol.ITS2010-46, pp53-58,, 北海道","LED アレイと高速度カメラを用いた階層的符号化光空間通信方式におけるターボ符号を用いた逐次型干渉
除去を提案する．提案する逐次型干渉除去では，まず，高優先度データの復調およびターボ復号を行う．この高優先度
データを再変調し，受信信号から減算することで高優先度データによる中優先度データへの干渉成分を取り除く．こ
うすることにより，中優先度データの誤り率特性を改善する．また，この干渉除去法の特性は高優先度データの誤り
率特性，つまりターボ符号の誤り率特性に依存する．そこで，これまで採用していたMaxLogMAP アルゴリズムによ
るターボ復号では無く，新たにLogMAP アルゴリズムを採用することで誤り率特性の改善を図る．","2010年2月",""
"長縄潤, 山里敬也, 片山正昭","一次システム信号の中継を伴う重畳通信システムにおける再生中継の適用","電子情報通信学会技術研究報告, vol.109, no.383 (SR2009-75), pp.9-14, 調布","コグニティブ無線技術を用いて，既存(一次)システムと二次システムが同じ周波数帯域で同時に通信を行う周波数共用を考える．提案する手法では，二次システムが一次システムの送信信号を中継することで一次システムのSNRを向上させ，生じた余裕分を二次システムに割り当て周波数共用を実現する．
本稿では，この中継方式の違いによる特性への影響を評価する．両システムのシンボル誤り率特性を解析的に導出し，再生中継を用いることで，一次システムの特性を悪化させること無く，一次システムと同等の誤り率で二次システムが通信可能であることを示す．","2010年1月",""
"大友佑三，山里敬也，片山正昭","多地点情報収集のための応答信号誤りを考慮したアクセス制御手法","電気学会研究会資料，CMN-10-006，pp.21-26, 沖縄","多地点のノードで周期的に発生するデータを，基地局が電力線通信技術を用いて収集するシステムを考える．このようなシステムにおいて，基地局が応答信号をブロードキャストすることで，一度通信に成功したノードに周期的にスロット割当を行うアクセス制御手法を提案する．ランダム割当と比べて，大きなスループットが得られることを示す．また提案手法において，応答信号に誤りが生じても，その影響を回避可能であることを示す．","2010年1月",""
"プレーマチャンドラ チンタカ,  圓道 知博, パナヒプル テヘラニ メヒルダド, 山里 敬也, 岡田 啓, 藤井 俊彰, 谷本 正幸","オプティカルフローを用いた可視光通信システムためのLEDアレイ追跡","映像情報メディア学会冬季大会, 東京，芝浦工業大学","We propose a visible light road-to-vehicle communication system at intersection as one of ITS technique. In this system, the 
communication between vehicle and an LED array is approached using LED array as a transmitter, and on-vehicle high-speed camera as a 
receiver. The LEDs in the transmitter are emitted in 500Hz and those emitting LEDs are captured by a high-speed camera for making 
communication. Here, the luminance value of LEDs in the transmitter should be captured in consecutive frames to achieve effective 
communication. For this purpose, first the transmitter should be identified, then it should be tracked in consecutive frames while the vehicle 
is moving, by processing the images from the high-speed camera. In this paper, we mainly introduce an algorithm to track the transmitter 
using optical flow and edge information. ","2009年12月",""
"山里敬也","論文の書き方講座","信州大学・工・電気電子工学科　講演会, 信州大学電気電子東棟6F 603 コミュニティ","","2009年12月",""
"岡田賢詞，圓道知博，山里敬也，岡田啓，メヒルダト パナヒプル テヘラニ，藤井俊彰，谷本正幸","LED信号機通信のための追尾機構を備えた車載受信機","電子情報通信学会技術研究報告, CS2009-64, pp.77-81, 名古屋","本研究室では，動的環境で長距離・高速な可視光通信を達成するための車載用受信機を提案・試作している．試作システムでは，フォトダイオードを受光素子として用い，長距離からの光を受光するためフォトダイオードの前方に望遠レンズを用いている．またフォトダイオードの視野が狭くなっているため，適切な方向に向けなければいけない．そのため，常にフォトダイオードが送信機の光を受信できるように，ビデオカメラを用いて追尾する．また振動の影響が考えられるため，振動補正のための機構を別に付加した．試作した受信機の動作・性能を確かめるため，実車実験による追尾，静的環境でのBER測定実験を行った．","2009年12月",""
"片山正昭[編著]，上原秀幸，岩波保則，和田忠浩，山里敬也，小林秀雄，岡田啓","無線通信工学","オーム社","新インターユニバシティシリーズ（通信・信号処理部門）","2009年11月",""
"増田幸仁，圓道知博，山里敬也，岡田啓，M.P. Tehrani, 藤井俊彰，谷本正幸","路車間並列光通信の空間周波数特性に基づく符号化方式の検討","電子情報通信学会技術研究報告, CS2009-54, pp.71-76, 支笏湖","高度道路交通システム(ITS) のなかで，更なる安全性，利便性の向上のため路車間通信の研究が盛んに行われている．本研究では，そのなかで従来研究である可視光を用い送信機にLED 交通信号機，受信機に高速度カメラを用いるシステムの空間周波数特性の解析を行う．路車間通信を想定しているので，LED 交通信号機と高速度カメラの距離は変化し，お互いの距離が長くなるにつれてカメラに移りこむ信号機の大きさが小さくなる．そのため，LED 交通信号機からの送信データの高周波成分が劣化することが考えられる．しかし，従来研究ではどのように劣化するかが不明であったため，本研究で解析した．また高速度カメラで画素として離散的に受信するため，ナイキスト周波数以上の高周波数成分により，画像にモアレが生じ通信に悪影響を与えている．そのためモアレの影響を減らすことも本研究の目的であり，通信の改善をシミュレーションにより確認した．","2009年11月",""
"小林健太郎，山里敬也，片山正昭","複数センサノードの観測データ間の相関を利用した統合復号法に関する一検討 - 実観測データのADCビットレベルに応じた相関推定 -","電子情報通信学会技術研究報告, vol.USN2009-42, pp.95-100, 仙台","無線センサネットワークでは，高い観測精度を得るために複数のセンサノードを空間的に密に配置することが多く，各ノードの観測データは互いに相関を有する．本稿では，実環境における観測値のADC出力に着目し，複数センサノードの観測データ間の相関をADCビットレベルごとに推定して利用する統合復号法を提案する．屋内にて実際に測定した観測データをシミュレーションで利用し，提案方式の性能評価を行う．
","2009年10月",","
"S. Arai, Y. Nishio, T. Yamazato, S. Ozawa","M-ary Modulation Scheme Using Separation of Chaotic Dynamics  for Noncoherent Chaos-Based Communications","International Symposium on Nonlinear Theory and its Applications (NOLTA), Chateraise Gateaux Kingdom Sapporo Hotel & Spa Resort, Sapporo, Japan,","This paper proposes a new M-ary modulation scheme for noncoherent chaos-based communications. A chaotic sequence is successive based on the chaotic dynamics. Without the successive sequence based on the chaotic dynamics, general noncoherent systems are very dif&#64257;cult to demodulate the data. However, we consider that the systematic separation and the reconstruction of the chaotic dynamics can be applied as additional information. Namely, M -ary data symbols can be expressed by separating the chaotic dynamics purposely. We carry out computer simulations of the proposed scheme and con&#64257;rm that a saving of over 3&#8211;4 dB is realized in transmitter energy by increasing M. ","2009年10月",","
"山本将啓, 山里敬也, 片山正昭","鉄道乗客向け無線通信システムにおける列車のすれ違いを考慮したアクセス制御方式","電子情報通信学会技術研究報告 vol.RCS2009-125, pp.89-93 , ATR","線路に沿って配置したセルを用いた列車乗客向け無線通信システムを考える。ユーザである列車乗客は線路上に局在し、列車と共に移動する。列車がすれ違う地点のセル内では、ユーザ数が倍化しトラヒック集中によるドロッピング確率の増加といったサービス品質の劣化が発生する。そこで、列車運行の定時性によりユーザの位置予測が可能であることを利用し、列車がすれ違う地点のセルに向けて静的にチャネル制限をするアクセス制御手法と動的に制限をするアクセス制御手法を提案した。その結果、提案したアクセス制御手法により、呼損率は増加するがドロッピング確率を低減できることを明らかにした。また、同一の呼損率で比較すると提案方式は、より小さなドロッピング確率を実現できることを示した。","2009年10月",""
"高棹 大輔, 圓道知博, 山里敬也, 岡田啓, メヒルダドパナヒプルテヘラニ,  藤井俊彰, 谷本正幸, 高井勇, 木村好克 ","光通信用撮像素子のための信号機検出","映像メディア処理シンポジウム（ITS）, ラフォーレ修善寺","特殊な光通信用撮像素子を用い，LED信号機の検出する方法を提
案する．その撮像素子を用いることで，通常のカメラを用いた検
出法に比べ，未検出率や誤検出率を改善できる．
","2009年10月",""
"岡田賢詞, 圓道知博, 山里敬也, 岡田啓, メヒルダドパナヒプルテヘラニ,  藤井俊彰, 谷本正幸 ","信号機追尾機構を備えた可視光通信車載受信機","映像メディア処理シンポジウム　(ITS), ラフォーレ修善寺","LED信号機と可視光通信する受信機を試作した．長距離通信，外
乱光軽減のために望遠レンズ，動的環境のために２台のカメラを
使用している．
","2009年10月",""
"Y. Sugiura, T. Yamazto, M. Katayama","Phase Compensation for Narrowband PLC Channels with Cyclic Time-Varying Features","Third Workshop on Power Line Communications , Udine, Italy","Phase transfer functions of power-line channels often show sharp and periodic variation synchronous to the (double of)
mains frequency. This is a result of impedance change of nonlinear devices connected to the power-lines. This manuscript
proposes a phase estimation strategy for phase compensation at a receiver under such environment. In the proposed method,
phase estimates are calculated using cyclic observation (average) of the channel phase. The numerical examples under periodic
phase variation of the channel and cyclostationary noise show that the receiver with the proposed phase estimation scheme
outperforms that with the conventional phase estimation, which uses average over the whole observation period without
considering the periodic feature of the channel.","2009年10月",""
"山里敬也","LED アレイと高速度カメラを用いた可視光通信のITSへの応用","電子情報通信学会 基礎・境界ソサイエティ誌, vol.3, no.2, pp.45-53","LEDは半導体デバイスのため高速に輝度を制御することができ，照明光などの役割を果たすと同時に通信機器 
としても利用できる．人の目に見える光を使って無線通信を行う技術を可視光通信と呼ぶ．本稿では，可視光通信のへ 
の応用の一つとして， LED式交通信号機から車両に向かってデータ伝送を行う路車間可視光通信について紹介する． 
LED式交通信号機に通信機能を追加することで，運転者が視覚的に認識する信号情報に加えて安全運転支援情報も受信できるた 
め，交差点事故の削減に寄与できるものと考えている．","2009年10月",","
"K. Kobayashi, T. Yamazato, M. Katayama","Decoding of Separately Encoded Multiple Correlated Sources Transmitted over Noisy Channels","IEICE Transactions on Fundamentals, vol.E92-A, no.10, pp.2402-2410","We propose an iterative channel decoding scheme 
for two or more multiple correlated sources. 
The correlated sources are separately turbo encoded 
without knowledge of the correlation and transmitted over noisy channels. 
The proposed decoder exploits the correlation of the multiple sources 
in an iterative soft decision decoding manner 
for joint detection of each of the transmitted data. 
Simulation results show that achieved performance for the more than two sources 
is also close to the Shannon and Slepian-Wolf limit 
and large additional SNR gain is obtained in comparison with 
the case of two sources. 
We also verify through simulation that 
no significant penalty results from 
the estimation of the source correlation in the decoding process 
and the code with a low error floor 
achieves good performance for a large number of the correlated sources. ","2009年10月","10.1587/transfun.E92.A.2402"
"名倉徹, 山里敬也, 片山正昭","LEDアレイと高速度カメラを用いた可視光通信システムのための受信輝度取得方法","電子情報通信学会 基礎・境界ソサイエティ大会, A-17-17, p.181, 新潟","LEDは従来の白熱灯と比較して低消費電力，視認性の良さや長寿命といった利点
があり，LED信号機が普及しつつある．LEDを人の目には見えない程高速に点滅させることによって照明光であると同時に，通信機器としての役割も果たすことが可能である．

本稿ではLEDアレイと高速度カメラを用いた可視光通信システムを考える．
筆者らは本システムにおける最高速度である128kbpsの伝送速度を提案したが、
近距離で誤り率特性が劣化する問題点があったため，本稿では受信輝度
取得方法を工夫することでこの問題を解決し、近距離でも誤り率特性を改善した．
","2009年9月",""
"小林健太郎，山里敬也，片山正昭","複数センサノードのADC出力ビット間の相関推定と統合復号法に関する一検討","電子情報通信学会 通信ソサイエティ大会, B-20-7, p.388, 新潟","無線センサネットワークでは多数のセンサノードを密に配置することが多く，各ノードの観測データは互いに相関を有する．先行研究では，相関に関する尤度情報を復号器間で互いに並列に交換しながらくり返し復号を行うことで，大きな利得が得られる統合復号法が提案されている．これらはすべてのビットが同程度の相関を有する場合を扱っている．一方，実環境でのセンシングを考えた場合，センサの観測値はADCを通じてバイナリ形式で取得される．ADC出力の上位ビットは観測値に大きな変動が起こった場合にしか変化せず，観測値の変動は主に下位ビットに現れるためビットレベルごとに相関の大きさが異なる．本稿ではビットレベルごとに相関を推定して利用する統合復号法を提案する．
","2009年9月",","
"J. Naganawa, T. Yamazato, M. Katayama","Cognitive Radio with Relay of a Primary Signal and Piggyback Modulation","IEEE International Symposium on Personal, Indoor and Mobile Radio Communication (PIMRC), pp.147-151 , Tokyo, Japan","This manuscript proposes a cognitive radio system that shares a frequency with an existing primary system. In the proposed method, a secondary transmitter relays the primary signal and piggybacks its own data on it. Symbol error probabilities of the system are derived analytically. The result shows that the proposed system can communicate at a relatively high speed on the same frequency of the primary system without harm to it.  ","2009年9月","10.1109/PIMRC.2009.5450056,"
"増田幸仁，圓道知博，山里敬也，岡田啓，M.P. Tehrani, 藤井俊彰，谷本正幸","路車間並列光通信における空間周波数特性に基づく符号化方式の検討","電気関係学会東海支部連合大会, O-438","","2009年9月",""
"高棹大輔，圓道知博，山里敬也，岡田啓，M.P. Tehrani, 藤井俊彰，谷本正幸","光通信用撮像素子を用いた路車間光通信の検討","電気関係学会東海支部連合大会, O-441","","2009年9月",""
"岡田賢詞，圓道知博，山里敬也，岡田啓，M.P. Tehrani, 藤井俊彰，谷本正幸","LED信号機を用いた可視光通信のための車載受信機","電気関係学会東海支部連合大会, O-439","","2009年9月",""
"T. Aman,  T. Yamazato, M. Katayama","Traffic Prediction Scheme for Resource Assignment of Satellite/Terrestrial Frequency Sharing Mobile Communication System","International Workshop on Satellite and Space Communications (IWSSC), Siena-Tuscany, Italy","The recent development of large aperture on-board
multi-beam antennas enables a small-size, low-powered and cellular
phone like hand-held terminal as a satellite earth terminal.
A single mobile terminal can communicate to both mobile
satellite systems and terrestrial systems depend upon his location,
QoS and availability of resources among satellite and terrestrial
communication systems.
In this paper, we propose a new traffic prediction scheme
for the integrated satellite/terrestrial frequency sharing mobile
communication system. The system shares a common frequency
bandwidth in order to enhance the total capacity by a dynamic
bandwidth allocation. A key for this allocation depends on
a traffic prediction scheme of a few hundreds of terrestrial
cells under a footprint of a satellite with a large aperture onboard
multi-beam antennas. We propose three traffic predictors
based on neural networks for dynamic resource allocation. The
performances of the proposed schemes are evaluated in terms
of the Relative Traffic Prediction Error and Maximum Traffic
Prediction Error by the computer simulation. For the evaluation,
we adopt the actual traffic statistic published by Ministry of
Internal Affairs and Communications of Japan with population
density of terrestrial cells based on the actual population of Aichi,
Japan. As results, average traffic prediction error of less than 0.25
is achieved for the prediction interval of one hour, enough for
dynamic resource allocation.","2009年9月","10.1109/IWSSC.2009.5286430,"
"J. Kietlinski-Zaleski, T. Yamazato, M. Katayama","TOA UWB Position Estimation with Two Receivers and a Set of Known Reflectors","International Conference on Ultra-Wideband (ICUWB), pp.376-380, Vancouver, Canada","Ultra-Wideband is an attractive technology for short range positioning, especially indoors. However, for normal Time of Arrival(ToA) positioning, at least 3 receivers with unblocked direct path to the transmitter are required. A requirement that is not always met. In this work, a novel algorithm for ToA positioning using only 2 receivers is presented. This is possible by exploiting reflections from a set of known flat reflectors, for example ceiling and walls. The proposed algorithm was tested using self-developed UWB propagation simulator testbed.","2009年9月","10.1109/ICUWB.2009.5288686,"
"荒井 伸太郎, 山里 敬也, 小沢 慎治","可視光通信を用いた交通信号における画像処理","平成21年 電気学会 電子・情報・ システム部門大会, 徳島大学","本稿では，送信機にLED信号機を，受信機に車載カメラ 
を用いた可視光通信に着目し，交通信号における画像処理 
について述べる．また，受信機にカメラを用いることで生 
じる特殊なチャネル特性に着目して提案された階層的符号 
化について述べ，画像処理による改善策の検討を行う．","2009年9月",""
"名倉徹, 山里敬也, 片山正昭","LEDアレイと高速度カメラを用いた可視光通信システムの伝送速度の検討","第11回 DSPS教育者会議, pp.45-46, 東京","本発表ではLEDアレイを送信機に、高速度カメラを受信機に用いた可視光通信システムについて述べる。
LEDは従来の白熱灯と比較して低消費電力、視認性の良さや長寿命といった利点があり、LED信号機が普及しつつある。LEDは半導体デバイスであるため、人の目には見えないほど高速に点滅させることによって照明光であると同時に、通信機器としての役割も果たすことが可能である。また、カメラを用いる利点として、受信機の視野角を広くできる点、送信機の位置を容易に見つけることができる点、複数光源からの信号を同時に受信可能である点などが挙げられる。
一方で、送受信機間の距離に応じた受信画像の劣化が起こるという問題点もある。この受信画像の劣化は(画像の)空間周波数の高周波成分が減衰しているためである。本研究では、LEDアレイの各LEDに別々の情報を載せるため、空間周波数が劣化すると各LEDを個別に判定することができず、一様に誤りが生じる。この問題点を解決するために、階層的符号化方式を用い、長距離からでは失われてしまう高周波成分に優先度の低いデータを、多く残る低周波成分に優先度の高いデータを割り当てる。
これまでの研究で伝送速度32kbpsを達成した。しかし実環境での可視光通信システムを想定すると、さらに高速な伝送速度が必要である。そこで本発表ではLEDアレイと高速度カメラを用いた可視光通信における伝送速度についての考察を行い、輝度補正、輝度抽出方法を工夫することにより本システムでの最高速度である128kbpsを達成できるシステムについて紹介する。","2009年9月",""
"平岩士昌, 山里敬也, 片山正昭","パイロット信号間の補間法の違いが車車間通信路推定に与える影響","電子情報通信学会 基礎・境界ソサイエティ大会, A-17-15, p.179, 新潟","車車間通信は，車両間の通信により安全性や効率性の向上を目的としている．本稿では同時に多数の車両と通信ができるMC-CDMAを用いた車車間通信のためのチャネル推定について検討する．
チャネル推定ではパイロット信号を利用して推定を行うことが多い．しかし，車車間通信のチャネルは車両の移動によるドップラーシフトやフェージングなどの影響により時々刻々と変動するため，パイロット信号間の補間法の違いがチャネル推定の特性に影響を与える．
本稿では，線形補間，スプライン補間，ニュートン補間の補間法の違いが車車間通信の環境におけるチャネル推定に与える影響ついて検討を行う．","2009年9月",""
"山里敬也","名古屋大学における OCW の活用","平成21年度工学教育研究講演会講演論文集，10-219, 名古屋大学","","2009年8月",""
"山里敬也","巻頭言～創刊５００号を迎えて～和文論文誌Bは優れた通信技術・研究を蓄える","電子情報通信学会論文誌，Vol. J92-B，No. 8，pp. 1211-1211，","","2009年8月",""
"H.C. N. Premachandra, T. Yendo, T. Yamazato, T. Fujii, M. Tanimoto, Y. Kimura","Detection of LED Traffic Light by Image Processing for Visible Light Communication System","IEEE Intelligent Vehicles Symposium (IV), pp.179-184, Kempinski Hotel Xi\'an, Shaanxi, China","We propose a visible light road-to-vehicle 
communication system at intersection for ITS.  In this system, 
the communication between vehicle and a LED traffic light is 
approached using LED traffic light as the transmitter, and 
on-vehicle high-speed camera as the receiver. The LEDs in the 
transmitter are emitted with 500Hz and the images of those 
emitting LEDs are captured by a high-speed camera for 
conducting communication. In this communication, it is 
extremely necessary to find the transmitter and detect it for 
consecutive frames while vehicle is moving. In this paper, we 
introduce proposals for finding and detecting it for consecutive 
frames by image processing. Experimental results using 
appropriate images showed the effectiveness of the proposal.","2009年8月","10.1109/IVS.2009.5164274,"
